feature,k,cluster,n_members,inertia
4096,5,0,41,230553.578125
4096,5,1,78,230553.578125
4096,5,2,8,230553.578125
4096,5,3,59,230553.578125
4096,5,4,14,230553.578125
4096,10,0,73,211642.859375
4096,10,1,16,211642.859375
4096,10,2,32,211642.859375
4096,10,3,8,211642.859375
4096,10,4,29,211642.859375
4096,10,5,8,211642.859375
4096,10,6,2,211642.859375
4096,10,7,5,211642.859375
4096,10,8,26,211642.859375
4096,10,9,1,211642.859375
pca95,5,0,7,218219.5
pca95,5,1,52,218219.5
pca95,5,2,71,218219.5
pca95,5,3,45,218219.5
pca95,5,4,25,218219.5
pca95,10,0,36,199444.015625
pca95,10,1,47,199444.015625
pca95,10,2,6,199444.015625
pca95,10,3,5,199444.015625
pca95,10,4,4,199444.015625
pca95,10,5,7,199444.015625
pca95,10,6,6,199444.015625
pca95,10,7,22,199444.015625
pca95,10,8,29,199444.015625
pca95,10,9,38,199444.015625
pca90,5,0,7,205228.390625
pca90,5,1,51,205228.390625
pca90,5,2,71,205228.390625
pca90,5,3,45,205228.390625
pca90,5,4,26,205228.390625
pca90,10,0,8,184871.796875
pca90,10,1,19,184871.796875
pca90,10,2,30,184871.796875
pca90,10,3,2,184871.796875
pca90,10,4,18,184871.796875
pca90,10,5,24,184871.796875
pca90,10,6,60,184871.796875
pca90,10,7,4,184871.796875
pca90,10,8,5,184871.796875
pca90,10,9,30,184871.796875
pca128,5,0,7,207262.5625
pca128,5,1,51,207262.5625
pca128,5,2,72,207262.5625
pca128,5,3,44,207262.5625
pca128,5,4,26,207262.5625
pca128,10,0,16,188125.578125
pca128,10,1,6,188125.578125
pca128,10,2,17,188125.578125
pca128,10,3,5,188125.578125
pca128,10,4,11,188125.578125
pca128,10,5,20,188125.578125
pca128,10,6,34,188125.578125
pca128,10,7,12,188125.578125
pca128,10,8,35,188125.578125
pca128,10,9,44,188125.578125
